directorid,directorname,companyname,awarddate,qualification,fulltextdescription,primarykeyid,companyid,awarddateflag
735088,Doctor Shawn Qu,Tsinghua University,1986-12-28,BSc,,882484,62095,25
745229,Mark Benjamin,University of Miami Florida,9999-12-31,Bachelor's Degree,,816372,62467,80
747756,Alex Gorsky,Wharton School (The) University of Pennsylvania,1996-12-28,MBA,,816434,64966,25
747756,Alex Gorsky,United States Military Academy (USMA) West Point,1982-12-28,BS,,816432,62117,25
761557,Matt Murphy,Stanford Graduate School of Business,2010-12-28,Executive Program,,1280233,67360,25
761557,Matt Murphy,Franklin & Marshall College,1994-12-28,BA,,843747,60710,25
762401,Chirag Patel,HA College of Commerce,9999-12-31,Bachelor's Degree,,2675787,1388314,80
762401,Chirag Patel,New Jersey City University,1989-12-28,BS,,2675789,117696,25
762401,Chirag Patel,American Institute of Certified Public Accountants (AICPA),1993-12-28,CPA,,2675792,54373,25
764621,Brian Krzanich,San Jose State University,1982-12-28,Bachelor's Degree,,826388,61780,25
790414,Doctor Brad Thompson,University of Alberta,1978-12-28,BSc,,3176738,62142,25
790414,Doctor Brad Thompson,University of Western Ontario,1981-12-28,PhD,,884056,62795,25
790419,Doctor Matt Coffey,University of Calgary,1998-12-28,PhD,,882996,86931,25
807018,Hartmut Liebel,Flagler College,1987-12-28,BA,,921758,468662,25
807018,Hartmut Liebel,Institute of Chartered Financial Analysts (ICFA) (USA),2000-12-28,Chartered Financial Analyst,,921757,41274,25
807018,Hartmut Liebel,University of Notre Dame,1989-12-28,MBA,,921351,62544,25
833256,Peter Leav,Lehigh University (LU),9999-12-31,BA,,925764,61143,80
843302,Frank Slootman,Netherlands School of Economics,1985-12-28,Graduated,,935214,1565027,25
843302,Frank Slootman,Erasmus Universiteit Rotterdam (Erasmus University Rotterdam),9999-12-31,Graduated,,1679385,78416,80
857412,Doctor Giovanni Caforio,Università degli Studi di Roma La Sapienza (La Sapienza University of Rome),1988-12-28,MD,,946710,62703,25
879247,Joaquin Duato,Escuela Superior de Administración y Dirección de Empresas (ESADE),9999-12-31,Degree,,955885,73564,80
879247,Joaquin Duato,Escuela Superior de Administración y Dirección de Empresas (ESADE),9999-12-31,MBA,,955887,73564,80
879247,Joaquin Duato,Thunderbird School of Global Management,9999-12-31,Masters Degree,,955890,923424,80
879360,Ernie Mast,McGill University (Canada),1989-12-28,Masters Degree,,1229910,61248,25
879360,Ernie Mast,McGill University (Canada),1987-12-28,Bachelor's Degree,,2035234,61248,25
879360,Ernie Mast,American Society for Quality (ASQ) (Formerly known as American Society for Quality Control),2003-12-28,Six Sigma Black Belt (SSBB),,1229911,126596,25
879360,Ernie Mast,Association of Professional Engineers,9999-12-31,Registered Professional Engineer,,1229909,825450,80
889340,Eric Starkloff,University of Virginia,1997-12-28,BSEE,,1078020,62777,25
892665,Revathi Advaithi,Birla Institute of Technology & Science (BITS) India,1991-12-28,BE (Hons),,969310,468626,25
892665,Revathi Advaithi,Thunderbird School of Global Management,2005-12-28,MBA,,969311,923424,25
895019,Bill Meury,University of Maryland Global Campus (UMGC) (University of Maryland University College (UMUC) prior to 07/2019),9999-12-31,BA,,1621419,640826,80
982110,Doctor August Troendle,Brown University,9999-12-31,Completed,,1061507,60224,80
982110,Doctor August Troendle,School of Medicine University of Maryland,9999-12-31,MD,,1061496,464173,80
982110,Doctor August Troendle,Boston University,9999-12-31,MBA,,3881647,60195,80
1010281,Tom Pike,University of Delaware,9999-12-31,BS,,1517056,79387,80
1015194,Matt Mannelly,Boston College (BC),1979-12-28,BS,,1232479,60193,25
1015194,Matt Mannelly,University of North Carolina (UNC),1983-12-28,MBA,,1232478,40198,25
1015485,Daniel O'Day,Columbia University,1997-12-28,MBA,,1153578,60434,25
1015485,Daniel O'Day,Georgetown University,1986-12-28,BS,,1153579,60750,25
1047323,John Chiminski,Purdue University,1987-12-28,MSEE,,1127467,61638,25
1047323,John Chiminski,Kellogg School of Management Northwestern University,1996-12-28,Master of Management (MM),,1127468,77878,25
1047323,John Chiminski,Michigan State University (MSU),1986-12-28,BS,,1127466,61278,25
1052584,Robert Feurle,University of Applied Sciences,9999-12-31,Degree,,1166768,816441,80
1054826,Robert Stewart,Fairleigh Dickinson University,1994-12-28,BS,,1233058,60671,25
1055310,Ken Xie,Stanford University,9999-12-31,MS,,1171763,61935,80
1055310,Ken Xie,Tsinghua University,9999-12-31,BS,,1171761,62095,80
1055310,Ken Xie,Stanford University,9999-12-31,Certified,,1526487,61935,80
1055310,Ken Xie,Association of Professional Engineers,9999-12-31,PEng,,1526484,825450,80
1055310,Ken Xie,Tsinghua University,9999-12-31,MS,,1171762,62095,80
1058303,Doctor Kishore Seendripu,University of California Berkeley,1996-12-28,PhD,,1129029,62215,25
1058303,Doctor Kishore Seendripu,Wharton School (The) University of Pennsylvania,2003-12-28,MBA,,1129031,64966,25
1058303,Doctor Kishore Seendripu,University of California Berkeley,1996-12-28,MS,,1129028,62215,25
1058303,Doctor Kishore Seendripu,Indian Institute of Technology (IIT) Bombay,1990-12-28,Bachelor of Technology,,1129030,567548,25
1068227,Greg Clark,University College University of New Mexico,9999-12-31,Postgraduate Studies,,1176213,62522,80
1068227,Greg Clark,Griffith University,9999-12-31,BS,,1176214,97576,80
1068880,Dave Ricks,Indiana University,1996-12-28,MBA,,1177930,60920,25
1068880,Dave Ricks,Purdue University,1990-12-28,BS,,1177931,61638,25
1074205,Kristin Peck,Georgetown University,1993-12-28,Bachelor's Degree (magna cum laude),,1190481,60750,25
1074205,Kristin Peck,Columbia Business School Columbia University,1999-12-28,MBA,,1190482,63118,25
1075570,Juan Alaix,University of Madrid,9999-12-31,Degree,,1194488,36331,80
1075579,David Simmons,Carnegie Mellon University,1986-12-28,BS,,1295430,41519,25
1077323,Doctor Ludwig Hantson,Universite Catholique de Louvain (UCL) (University of Louvain),9999-12-31,PhD,,1197349,63180,80
1077323,Doctor Ludwig Hantson,Universite Catholique de Louvain (UCL) (University of Louvain),9999-12-31,Masters Degree,,2887473,63180,80
1077323,Doctor Ludwig Hantson,Universite Catholique de Louvain (UCL) (University of Louvain),9999-12-31,Certificate,,2887474,63180,80
1083252,Chris Garabedian,University of Maryland Baltimore County,1989-12-28,BS,,1208140,916134,25
1083477,Howard Schiller,University of Chicago Law School,1987-12-28,JD,,1296854,1283365,25
1083477,Howard Schiller,Wharton School (The) University of Pennsylvania,1984-12-28,BS,,1296852,64966,25
1084894,Rob Mionis,University of Massachusetts Amherst (UMA),1985-12-28,BSc,,1211344,62456,25
1089168,Brian Crutcher,University of Central Florida (UCF),1995-12-28,BS,,1219548,80620,25
1089168,Brian Crutcher,University of California Irvine,2001-12-28,MBA,,1219550,383127,25
1093063,Seth Blackley,University of North Carolina Chapel Hill,2001-12-28,BS (Hons),,1230067,62533,25
1093063,Seth Blackley,Harvard Business School Harvard University,2007-12-28,MBA,,1230060,63013,25
1093467,Pablo Legorreta Creel,Universidad Iberoamericana,1985-12-28,BA,,1232264,1341986,25
1093830,Doctor Chris Boerner,Haas School of Business University of California Berkeley,2001-12-28,PhD,,1231295,757832,25
1093830,Doctor Chris Boerner,Haas School of Business University of California Berkeley,9999-12-31,MA,,1231296,757832,80
1093830,Doctor Chris Boerner,Washington University St Louis,1993-12-28,BA,,1231297,82206,25
1094011,Ron Lombardi,Springfield College,9999-12-31,BS,,1231697,96171,80
1094011,Ron Lombardi,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,1231699,54373,80
1094011,Ron Lombardi,American International College,9999-12-31,MBA,,1231698,128922,80
1096288,Vincent Pilette,Universite Catholique de Louvain (UCL) (University of Louvain),1996-12-28,BS (magna Cum Laude),,1236499,63180,25
1096288,Vincent Pilette,Universite Catholique de Louvain (UCL) (University of Louvain),1998-12-28,MS,,1236500,63180,25
1096288,Vincent Pilette,Kellogg School of Management Northwestern University,2004-12-28,MBA,,1236501,77878,25
1096978,Kurt Sievers,Universität Augsburg (University of Augsburg),9999-12-31,Masters Degree,,1850479,62166,80
1096978,Kurt Sievers,Ashridge Executive Education (Formerly known as Ashridge Business School),9999-12-31,MBA,,2122603,65339,80
1108033,Bret Taylor,Stanford University,2003-06-28,MS,,1240412,61935,15
1108033,Bret Taylor,Stanford University,2002-06-28,BS,,1240413,61935,15
1112822,Rob Enslin,University of South Africa (UNISA),9999-12-31,Degree,,1535372,62664,80
1114611,Mike Spreadborough,University of Queensland,1986-12-28,BEng (Hons),,1250733,90682,25
1114611,Mike Spreadborough,Government of Western Australia,1995-12-28,Certified,,2516891,1976741,25
1114611,Mike Spreadborough,Deakin University,1994-12-28,MBA (Hons),,1250734,586451,25
1118666,Doctor Ed Kaye,Loyola University Chicago,9999-12-31,BS,,4146962,1578750,80
1118666,Doctor Ed Kaye,Stritch School of Medicine Loyola University Chicago,9999-12-31,MD,,1257556,1620063,80
1118666,Doctor Ed Kaye,Boston Medical Center (BMC),9999-12-31,Training Program,,2585191,247892,80
1122129,Mike Sutcliff,Georgia Institute of Technology (GIT) (Georgia Tech),1985-12-28,BS,,1273473,60751,25
1122129,Mike Sutcliff,Georgia Institute of Technology (GIT) (Georgia Tech),1987-12-28,MS,,1273474,60751,25
1123231,John Cox,California State University (CSU),1991-12-28,MS,,1949165,60252,25
1123231,John Cox,Arizona State University,1984-12-28,BS,,1949167,60074,25
1123231,John Cox,Stephen M Ross School of Business University of Michigan (University of Michigan Business School prior to 09/2004),1993-12-28,MBA,,1949162,747221,25
1123639,Shuki Nir,Tel Aviv University,1998-12-28,MBA,,1276441,62031,25
1123639,Shuki Nir,Tel Aviv University,1996-12-28,BA,,1276443,62031,25
1123639,Shuki Nir,Tel Aviv University,9999-12-31,LLB,,4137813,62031,80
1123881,Tim Westergren,Stanford University,1988-12-28,BA,,1276532,61935,25
1127175,Doctor Helen Torley,University of Glasgow,9999-12-31,MBChB,,1283024,60760,80
1134582,Chuck Kummeth,University of St Thomas Minnesota,1989-12-28,MS,,1298097,80829,25
1134582,Chuck Kummeth,Carlson School of Management University of Minnesota,1993-12-28,MBA,,1298100,76622,25
1134582,Chuck Kummeth,University of North Dakota (UND),1983-12-28,BSEE,,1298096,62536,25
1192124,Antonio Neri,National Technological University (NTU),9999-12-31,Bachelor's Degree,,3800367,819281,80
1192124,Antonio Neri,Universidad Tecnológica Nacional,1990-12-28,BEng,,1591829,1583669,25
1192485,Marcus Ryu,Princeton University,1995-12-28,AB,,1367687,61632,25
1192485,Marcus Ryu,New College University of Oxford,1997-12-28,BPhil,,1367686,63045,25
1192633,Mark Pincus,Harvard Business School Harvard University,1993-12-28,MBA,,1368284,63013,25
1192633,Mark Pincus,Wharton School (The) University of Pennsylvania,1988-12-28,BS (summa Cum Laude),,1368282,64966,25
1197971,Badri Kothandaraman,Indian Institute of Technology (IIT) Madras,1993-12-28,BTech,,2502335,486821,25
1197971,Badri Kothandaraman,University of California Berkeley,1995-12-28,MS,,2502337,62215,25
1197971,Badri Kothandaraman,Stanford Graduate School of Business,2008-12-28,Executive Program,,2502346,67360,25
1198909,Doctor Brett Monia,University of Pennsylvania,9999-12-31,PhD,,1376635,62579,80
1198909,Doctor Brett Monia,Stockton State College,9999-12-31,BS,,1647720,104422,80
1201064,Jeremy Allaire,Macalester College,1993-12-28,BA,,1380022,80775,25
1202489,Paul Nahi,University of Southern California (USC),1986-12-28,BSc,,1382136,62673,25
1202489,Paul Nahi,University of Southern California (USC),1992-12-28,MBA,,1382137,62673,25
1203855,Mark Alles,Lock Haven University of Pennsylvania,9999-12-31,BS,,1384585,117866,80
1249099,Hervé Hoppenot,École Supérieure des Sciences Économiques et Commerciales (ESSEC Business School),1983-12-28,Diploma,,1652533,64829,25
1252966,Gary Steele,Washington State University (WSU),1984-12-28,BS,,1438964,62894,25
1258069,Doctor Stu Peltz,McArdle Laboratory for Cancer Research,9999-12-31,PhD,,1445946,2207689,80
1264832,Rob Humphryson,Western Australian School of Mines (WASM),1990-12-28,Graduated,,2857913,667270,25
1265100,Doug Boothe,Princeton University,1986-12-28,BSE,,1458109,61632,25
1265100,Doug Boothe,Wharton School (The) University of Pennsylvania,1990-12-28,MBA,,1458110,64966,25
1269387,Hassane El-Khoury,Lawrence Technological University,2001-12-28,BSEE,,1461452,111047,25
1269387,Hassane El-Khoury,Oakland University,2006-12-28,MS,,1461453,61514,25
1275602,Adam Foroughi,University of California Berkeley,2001-12-28,BBA (Hons),,1471308,62215,25
1275602,Adam Foroughi,University of California Berkeley,2001-12-28,BA,,1723642,62215,25
1284093,Cristiano Amon,Universidade Estadual de Campinas,1992-12-28,BS,,1488314,874118,25
1301965,Renee Gala,Columbia Business School Columbia University,9999-12-31,MBA,,1522118,63118,80
1301965,Renee Gala,Vanderbilt University,9999-12-31,BS,,1522119,62843,80
1302499,Mike Hurlston,University of California Davis,1991-12-28,MSEE,,1531084,62216,25
1302499,Mike Hurlston,University of California Davis,1988-12-28,BSEE,,1531083,62216,25
1302499,Mike Hurlston,University of California Davis,1990-12-28,MBA,,1531085,62216,25
1313292,Doctor Kyle Gano,University of California Los Angeles (UCLA),2002-12-28,MBA,,1544417,62218,25
1313292,Doctor Kyle Gano,University of Oregon,1996-12-28,BS,,1544413,62552,25
1313292,Doctor Kyle Gano,University of California Los Angeles (UCLA),2000-12-28,PhD,,1544415,62218,25
1313292,Doctor Kyle Gano,University of Washington,1996-12-28,BS,,1544414,62785,25
1315152,Neil de Crescenzo IV,Yale University,9999-12-31,BA,,1546377,62981,80
1315152,Neil de Crescenzo IV,Graduate School of Business Administration Northeastern University,9999-12-31,MBA,,1546378,1344228,80
1315513,Christian Chabot,Stanford University,2000-12-28,MBA,,1547526,61935,25
1315513,Christian Chabot,Stanford University,1994-12-28,BS,,1547528,61935,25
1315513,Christian Chabot,University of Sussex,1995-12-28,MSc,,1547527,62713,25
1318835,Mark Saxon,University of Melbourne,1991-12-28,BSc (Hons),,1552964,62463,25
1318835,Mark Saxon,Financial Services Institute of Australasia (Finsia),2006-12-28,Graduate Diploma,,1552965,872585,25
1345036,Doctor Edwin Roks,NHTV Breda University of Applied Sciences,1985-12-28,BSc,,1598756,1882269,25
1345036,Doctor Edwin Roks,Technical University of Eindhoven,1990-12-28,MSc,,1598755,1010056,25
