companyid,datestartrole,directorid,directorname,companyname,rolename,dateendrole,datestartroleflag,dateendroleflag,seniority
21606,1976-01-02,92037,Doctor Jim Truchard,NATIONAL INSTRUMENTS CORP (De-listed 10/2023),Chairman/President/CEO,2017-01-01,30,10,Executive Director
2257,2016-08-29,202425,Jim Cashman III,ANSYS INC (De-listed 07/2025),CEO,2017-01-01,10,10,Executive Director
18888,2009-01-01,33316,Doctor John Lechleiter,ELI LILLY & CO,Chairman/President/CEO,2016-12-31,10,10,Executive Director
5118,2015-05-05,857412,Doctor Giovanni Caforio,BRISTOL-MYERS SQUIBB CO,CEO,2016-12-28,10,15,Executive Director
1560214,2014-05-14,320460,Fred Wilkinson,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),President/CEO,2016-12-19,10,10,Executive Director
1355,2015-04-01,541897,David Hallal,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),CEO,2016-12-11,10,10,Executive Director
23141,1999-11-08,790414,Doctor Brad Thompson,ONCOLYTICS BIOTECH INC,Chairman/President/CEO,2016-11-02,10,10,Executive Director
21710,2007-10-01,201483,Bill Nuti,NCR VOYIX CORP (NCR Corp prior to 10/2023),Chairman/President/CEO,2016-10-28,10,15,Executive Director
1830138,2012-06-29,843302,Frank Slootman,SERVICENOW INC,President/CEO,2016-10-25,10,10,Executive Director
2129696,2014-07-31,1047323,John Chiminski,CATALENT INC (De-listed 12/2024),President/CEO,2016-10-25,10,10,Executive Director
1951118,2013-05-09,1010281,Tom Pike,IQVIA HOLDINGS INC (Quintiles IMS Holdings Inc prior to 11/2017),CEO,2016-10-03,10,10,Executive Director
2164733,2014-11-07,1109557,Jamie Macdonald,SYNEOS HEALTH INC (INC Research Holdings Inc prior to 01/2018) (De-listed 09/2023),CEO,2016-10-01,10,10,Executive Director
24637,2013-02-13,200556,Dean Foate,PLEXUS CORP,Chairman/President/CEO,2016-09-29,10,10,Executive Director
11505,2014-11-17,333387,Doctor Mark Thompson,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC (De-listed 09/2016),Chairman/President/CEO,2016-09-19,10,10,Executive Director
4002,2012-01-01,205183,Gayla Delly,BENCHMARK ELECTRONICS INC,President/CEO,2016-09-16,10,10,Executive Director
1953153,2013-05-17,1315513,Christian Chabot,TABLEAU SOFTWARE INC (De-listed 08/2019),Chairman/President/CEO,2016-09-16,10,10,Executive Director
600759,2016-08-05,1094011,Ron Lombardi,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),President/CEO/Interim CFO,2016-09-12,10,10,Executive Director
2257,2000-02-08,202425,Jim Cashman III,ANSYS INC (De-listed 07/2025),President/CEO,2016-08-29,10,10,Executive Director
1656815,2009-11-03,1318835,Mark Saxon,TASMAN METALS LTD (De-listed 08/2016),President/CEO,2016-08-25,10,10,Executive Director
600759,2015-11-10,1094011,Ron Lombardi,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),President/CEO,2016-08-05,10,10,Executive Director
29774,2016-04-28,49801,Mike Brown,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),CEO,2016-08-01,10,10,Executive Director
897123,2012-07-30,332806,Jim Hughes,FIRST SOLAR INC,CEO,2016-06-30,10,10,Executive Director
32166,2015-01-01,330136,Doctor Martine Rothblatt,UNITED THERAPEUTICS CORP,Chairman/Co-CEO,2016-06-26,10,10,Executive Director
32166,2015-01-01,330139,Doctor Roger Jeffs,UNITED THERAPEUTICS CORP,President/Co-CEO,2016-06-21,10,10,Executive Director
2301441,2015-07-01,1077323,Doctor Ludwig Hantson,BAXALTA INC (De-listed 06/2016),President/CEO,2016-06-03,10,10,Executive Director
21903,2015-06-01,1448606,George Kurian,NETAPP INC (Network Appliance Inc prior to 03/2008),CEO,2016-05-20,10,10,Executive Director
26992,2011-01-01,205405,Sanjay Mehrotra,SANDISK CORP (De-listed 05/2016),President/CEO,2016-05-12,10,10,Executive Director
1573,2014-05-06,327474,Dave Aldrich,SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002),Chairman/CEO,2016-05-11,10,10,Executive Director
4427,2016-02-28,499843,Mike Pearson,BAUSCH HEALTH COMPANIES INC (Valeant Pharmaceuticals International Inc prior to 07/2018),CEO,2016-05-02,10,10,Executive Director
29774,2014-09-24,49801,Mike Brown,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),President/CEO,2016-04-28,10,10,Executive Director
8542,1982-01-02,180412,Doctor TJ Rodgers,CYPRESS SEMICONDUCTOR CORP (De-listed 04/2020),President/CEO,2016-04-28,30,10,Executive Director
24205,2015-10-22,206108,Joe Papa Jr,PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013),Chairman/CEO,2016-04-24,10,10,Executive Director
2960,2006-08-07,183402,Steve Laub,ATMEL CORP (De-listed 04/2016),President/CEO,2016-04-04,10,10,Executive Director
19750,2013-07-14,327057,Doctor Sehat Sutardja,MARVELL TECHNOLOGY INC (Marvell Technology Group Ltd prior to 04/2021),Chairman/CEO,2016-04-01,10,10,Executive Director
1706477,2013-09-11,201626,Brian McAndrews,PANDORA MEDIA INC (De-listed 02/2019),Chairman/President/CEO,2016-03-25,10,10,Executive Director
13273,2008-05-07,47456,Doctor John Martin,GILEAD SCIENCES INC,Chairman/CEO,2016-03-10,10,10,Executive Director
1743287,2015-04-08,1192633,Mark Pincus,ZYNGA INC (De-listed 05/2022),Chairman/CEO,2016-03-07,10,10,Executive Director
956561,2007-05-10,598932,Tony Aquila,SOLERA HOLDINGS INC (De-listed 03/2016),Chairman/President/CEO,2016-03-03,10,10,Executive Director
6177,2014-08-01,84112,Bob Hugin,CELGENE CORP (De-listed 11/2019),Chairman/CEO,2016-03-01,10,10,Executive Director
4427,2016-01-06,1083477,Howard Schiller,BAUSCH HEALTH COMPANIES INC (Valeant Pharmaceuticals International Inc prior to 07/2018),Interim CEO,2016-02-28,10,10,Executive Director
27977,2013-06-30,536593,George Tuttle,SILICON LABORATORIES INC,CEO,2016-02-16,10,10,Executive Director
20566,1993-10-01,61502,Steve Sanghi,MICROCHIP TECHNOLOGY INC,Chairman/President/CEO,2016-02-03,20,10,Executive Director
1569335,2014-05-08,375436,Joe Conway,PRIMERO MINING CORP (Mala Noche Resources Corp prior to 08/2010) (De-listed 05/2018),CEO,2016-01-31,10,10,Executive Director
23124,2012-12-01,182058,Shaw Hong,OMNIVISION TECHNOLOGIES INC (De-listed 01/2016),Chairman/CEO,2016-01-28,10,10,Executive Director
6959,2015-10-20,52347,Bob Calderoni,CITRIX SYSTEMS INC (De-listed 09/2022),Chairman/Interim President/CEO,2016-01-25,10,10,Executive Director
16626,2008-01-01,444827,Brad Smith,INTUIT INC,President/CEO,2016-01-21,10,10,Executive Director
4427,2011-03-22,499843,Mike Pearson,BAUSCH HEALTH COMPANIES INC (Valeant Pharmaceuticals International Inc prior to 07/2018),Chairman/CEO,2016-01-06,10,10,Executive Director
1813585,2012-04-19,329839,Godfrey Sullivan,SPLUNK INC (De-listed 03/2024),Chairman/President/CEO,2015-11-19,10,10,Executive Director
600759,2015-06-01,1094011,Ron Lombardi,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),President/CEO/CFO,2015-11-10,10,10,Executive Director
24205,2007-10-31,206108,Joe Papa Jr,PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013),Chairman/President/CEO,2015-10-22,10,10,Executive Director
6959,2001-06-01,81732,Mark Templeton,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2015-10-20,20,10,Executive Director
33382,2013-01-02,325964,Steve Milligan,WESTERN DIGITAL CORP,President/CEO,2015-10-18,10,10,Executive Director
6175,2007-08-08,346826,Craig Muhlhauser,CELESTICA INC,President/CEO,2015-08-01,10,10,Executive Director
4354,2005-05-16,183266,Jean-Jacques Bienaimé,BIOMARIN PHARMACEUTICAL INC,CEO,2015-06-09,10,10,Executive Director
21903,2014-04-04,204874,Tom Georgens,NETAPP INC (Network Appliance Inc prior to 03/2008),Chairman/CEO,2015-06-01,10,10,Executive Director
600759,2009-09-03,1015194,Matt Mannelly,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),President/CEO,2015-06-01,10,10,Executive Director
15783,2014-01-13,1249099,Hervé Hoppenot,INCYTE CORP (Incyte Genomics prior to 03/2003),President/CEO,2015-05-22,10,10,Executive Director
5118,2015-01-20,857412,Doctor Giovanni Caforio,BRISTOL-MYERS SQUIBB CO,CEO Designate/COO,2015-05-05,10,10,Executive Director
5118,2015-01-20,41606,Lamberto Andreotti,BRISTOL-MYERS SQUIBB CO,Chairman Elect/CEO,2015-05-05,10,10,Executive Director
1743287,2013-07-08,47716,Don Mattrick,ZYNGA INC (De-listed 05/2022),CEO,2015-04-08,10,10,Executive Director
1355,2014-10-09,181370,Doctor Lenny Bell,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),Chairman/CEO,2015-03-31,10,10,Executive Director
3218,2011-01-01,1083252,Chris Garabedian,SAREPTA THERAPEUTICS INC (AVI BioPharma Inc prior to 07/2012),President/CEO,2015-03-31,10,10,Executive Director
1426,2013-07-01,16689,Doctor David Pyott,ALLERGAN INC (De-listed 03/2015),Chairman/CEO,2015-03-17,10,10,Executive Director
105052,2009-01-01,345810,Professor Doctor Uli Hacksell,ACADIA PHARMACEUTICALS INC,President/CEO,2015-03-11,30,10,Executive Director
5118,2010-05-04,41606,Lamberto Andreotti,BRISTOL-MYERS SQUIBB CO,CEO,2015-01-20,10,10,Executive Director
488272,2006-10-26,480400,Clarence Granger,ULTRA CLEAN HOLDINGS INC,Chairman/CEO,2015-01-19,10,10,Executive Director
32166,1996-06-01,330136,Doctor Martine Rothblatt,UNITED THERAPEUTICS CORP,Chairman/CEO,2015-01-01,20,10,Executive Director
