directorid,directorname,companyname,qualification,fulltextdescription,primarykeyid,companyid,awarddate,awarddateflag
1277428,Duane Parnham,Sir Sandford Fleming College,Graduated,,1475130,622354,1985-12-28,25
1279254,Steve Oswald,Tandon School of Engineering New York University,BS,,2520416,2550278,9999-12-31,80
1279254,Steve Oswald,GENERAL ELECTRIC CO (GE Aerospace),Manufacturing Management Program (MMP),,2520417,12986,9999-12-31,80
1279254,Steve Oswald,University of Cincinnati,Masters Degree,,2520415,62243,9999-12-31,80
1279254,Steve Oswald,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),MBA,,1478044,1342262,1996-12-28,25
1280252,Doctor Rémy Luthringer,Université Louis Pasteur Strasbourg (University of Louis Pasteur Strasbourg),PhD,,1481107,63536,9999-12-31,80
1280252,Doctor Rémy Luthringer,Université Paris Sorbonne - Paris IV (Paris Sorbonne University - Paris IV),MS,,1481106,63794,9999-12-31,80
1280562,Doctor Matthias Schroff,Leibniz Universität Hannover (Leibniz University of Hannover),Degree,,1480975,51307,1993-12-28,25
1280562,Doctor Matthias Schroff,Freie Universität Berlin (Free University of Berlin),PhD,,1480976,63298,1998-12-28,25
1284093,Cristiano Amon,Universidade Estadual de Campinas,BS,,1488314,874118,1992-12-28,25
1285016,Jim Scapa,Columbia University,Bachelor's Degree,,1490150,60434,9999-12-31,80
1285016,Jim Scapa,University of Michigan,MBA,,1490151,63187,9999-12-31,80
1285123,Doctor Mark Velleca,Yale University,BS (cum laude),,1490255,62981,1985-12-28,25
1285123,Doctor Mark Velleca,Yale-New Haven Hospital Inc (YNHH),Completed,,1490272,54188,9999-12-31,80
1285123,Doctor Mark Velleca,Washington University St Louis,Graduated,,1490275,82206,9999-12-31,80
1285123,Doctor Mark Velleca,Washington University St Louis,PhD,,1490257,82206,1995-12-28,25
1285123,Doctor Mark Velleca,Washington University St Louis,MD (Hons),,1490256,82206,1995-12-28,25
1285245,George Ng,University of California Davis,BAS (Bachelor of Arts and Science),,1490254,62216,1997-12-28,25
1285245,George Ng,Law School (The) University of Notre Dame,JD,,1490253,642321,2002-12-28,25
1288335,Doctor Murthy Simhambhatla,Anna University,Bachelor's Degree,,1494550,60064,9999-12-31,80
1288335,Doctor Murthy Simhambhatla,University of Akron,MS,,1494539,62134,1990-12-28,25
1288335,Doctor Murthy Simhambhatla,University of Akron,PhD,,1494534,62134,1994-12-28,25
1288973,Sandesh Seth,New York University (NYU),MBA,,1495957,61424,9999-12-31,80
1288973,Sandesh Seth,Regulatory Affairs Professionals Society (RAPS),Regulatory Affairs Certification (RAC),,1495983,607366,9999-12-31,80
1288973,Sandesh Seth,University of Oklahoma Health Sciences Center,MS,,1495958,468452,9999-12-31,80
1288973,Sandesh Seth,University of Mumbai (University of Bombay prior to 09/1996),BSc,,1495959,76151,9999-12-31,80
1288981,Doctor Sergio Traversa,Università degli Studi di Torino (UNITO) (University of Turin),Laurea (summa cum laude),,1495992,63151,1985-12-28,25
1288981,Doctor Sergio Traversa,Leonard N Stern School of Business New York University,MBA,,1495993,42226,1995-12-28,25
1290265,Doctor Briggs Morrison,Dana-Farber Cancer Institute Inc (DFCI),Fellow,,1498210,46984,1991-12-28,25
1290265,Doctor Briggs Morrison,Georgetown University,BS,,1498200,60750,1981-12-28,25
1290265,Doctor Briggs Morrison,University of Connecticut (UCONN),MD,,1498201,62265,1985-12-28,25
1295228,Doctor Chris Diorio,Occidental College,BA,,1509838,61516,1983-12-28,25
1295228,Doctor Chris Diorio,California Institute of Technology (CALTECH),MS,,1509837,60243,1984-12-28,25
1295228,Doctor Chris Diorio,California Institute of Technology (CALTECH),PhD,,1508914,60243,1997-12-28,25
1295500,Sean Nolan,John Carroll University (JCU),BA,,1508489,80640,1990-12-28,25
1295845,Mark Zagorski,Gannon University,BS (Hons),,1509409,60738,1990-12-28,25
1295845,Mark Zagorski,Simon Business School University of Rochester (William E Simon School of Business Administration prior to 2013),MBA,,1509408,576553,1992-12-28,25
1298350,Tayfun Eldem,Lester B Pearson College United World College of the Pacific,Attended,,1515009,36846,1984-12-28,25
1298350,Tayfun Eldem,Dalhousie University,BE,,1514994,60481,1989-12-28,25
1298350,Tayfun Eldem,Association of Professional Engineers,PEng,,2119017,825450,9999-12-31,80
1298350,Tayfun Eldem,Ivey Business School University of Western Ontario,Certificate,,1514996,485046,1998-12-28,25
1298350,Tayfun Eldem,London Business School,Certificate,,1514997,61171,2004-12-28,25
1299134,Doctor Peter Altman,Fu Foundation School of Engineering & Applied Science Columbia University,BS,,1515232,1488756,1988-12-28,25
1299134,Doctor Peter Altman,Haas School of Business University of California Berkeley,Certificate,,1515229,757832,2003-12-28,25
1299134,Doctor Peter Altman,Fu Foundation School of Engineering & Applied Science Columbia University,MS,,1515231,1488756,1990-12-28,25
1299134,Doctor Peter Altman,University of California San Francisco (UCSF),PhD,,1515226,62221,2003-12-28,25
1299134,Doctor Peter Altman,University of California Berkeley,PhD,,1515227,62215,1991-12-28,25
1299161,Doctor Jayson Rieger,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),MBA,,1515696,53191,2008-12-28,25
1299161,Doctor Jayson Rieger,Rollins College,BA,,1516159,61712,1997-12-28,25
1299161,Doctor Jayson Rieger,University of Virginia,PhD,,1515694,62777,2002-12-28,25
1302989,Matt Pauls,Central Michigan University (CMU),BSBA,,1523583,60309,1993-12-28,25
1302989,Matt Pauls,Central Michigan University (CMU),MBA,,1523584,60309,1996-12-28,25
1302989,Matt Pauls,College of Law Michigan State University,JD,,1523587,1478557,2000-12-28,25
1303294,Doctor Jay Luly,University of Illinois Urbana-Champaign (UIUC),BS,,1524615,77782,9999-12-31,80
1303294,Doctor Jay Luly,University of California Berkeley,PhD,,1524617,62215,9999-12-31,80
1303447,Ric Phillips,Indiana University Bloomington,BS,,1525411,1337103,1992-12-28,25
1303447,Ric Phillips,Kellogg School of Management Northwestern University,Master of Management (MM),,1525410,77878,1998-12-28,25
1304740,Pat Walsh,Unknown Organisation,Degree,,1527010,0,9999-12-31,80
1306841,Peter Platzer,Harvard Business School Harvard University,MBA,,1531036,63013,2003-12-28,25
1306841,Peter Platzer,International Space University,MS,,1531037,571815,2012-12-28,25
1306841,Peter Platzer,Singularity University,Executive Program,,3295631,1634137,2009-12-28,25
1306841,Peter Platzer,Technische Universität Wien (Vienna University of Technology),MS,,3295630,62856,1996-12-28,25
1313406,Steve Mahoney,Colorado College,BA,,1544510,82981,1994-12-28,25
1313406,Steve Mahoney,Boston College Law School Boston College,JD,,1544509,82648,1999-12-28,25
1313406,Steve Mahoney,Carroll School of Management Boston College,MBA,,2945663,117631,1999-12-28,25
1313997,Rajiv Shukla,Harvard University,Masters Degree,,1543528,63830,2000-12-28,25
1313997,Rajiv Shukla,Indian Institute of Technology Banaras Hindu University (IIT-BHU),Bachelor's Degree (Hons),,2103512,1474980,9999-12-31,80
1315732,Doctor Yaron Daniely,Sackler School of Graduate Biomedical Sciences,PhD,,1547523,1354443,2000-10-28,15
1315732,Doctor Yaron Daniely,American Cancer Society (ACS) Inc,Postdoctoral Fellow,,1547568,52621,2004-12-28,25
1315732,Doctor Yaron Daniely,Florida International University (FIU),Fellow,,1547532,82197,1996-12-28,25
1315732,Doctor Yaron Daniely,Technion - Israel Institute of Technology (IIT),Executive MBA (cum laude),,1547524,780210,2004-12-28,15
1315732,Doctor Yaron Daniely,Sackler School of Graduate Biomedical Sciences,MSc,,1547517,1354443,1999-01-28,15
1315732,Doctor Yaron Daniely,Florida International University (FIU),BSc (cum laude),,1547516,82197,1996-04-28,15
1316519,Jerry Jabbour,Seton Hall University School of Law,JD,,1548809,464664,1999-05-28,15
1316519,Jerry Jabbour,Loyola University Maryland,BA,,1548811,1714053,1996-12-28,25
1319083,Ian Mortimer,Chartered Professional Accountants of Canada (CPA Canada),Chartered Professional Accountant,,2685991,2017359,9999-12-31,80
1319083,Ian Mortimer,Institute of Certified Management Accountants (ICMA),Certified Management Accountant,,1553390,826174,9999-12-31,80
1319083,Ian Mortimer,Queen's University,MBA,,1553389,63329,2004-12-28,25
1319083,Ian Mortimer,University of British Columbia (UBC),BSc,,1553388,62203,1998-12-28,25
1320271,Scott Carter,Alfred Lerner College of Business and Economics University of Delaware,BA,,1554875,560971,9999-12-31,80
1320271,Scott Carter,Alfred Lerner College of Business and Economics University of Delaware,MBA,,1554876,560971,9999-12-31,80
1320271,Scott Carter,Kellogg School of Management Northwestern University,Executive Education Certificate,,3983122,77878,9999-12-31,80
1321420,Faraz Ali,Stanford University,BS,,1556176,61935,1995-12-28,25
1321420,Faraz Ali,Harvard Business School Harvard University,MBA (Distinction),,1556177,63013,2001-12-28,25
1323833,Doctor Arthur Tzianabos,University of New Hampshire,PhD,,1560213,62520,1989-12-28,25
1323833,Doctor Arthur Tzianabos,Boston College (BC),BS,,1560210,60193,1985-12-28,25
1325809,Doctor Ramesh Kumar,Panjab University,BSc (Hons),,1564722,466399,9999-12-31,80
1325809,Doctor Ramesh Kumar,University of Illinois at Chicago (UIC),PhD,,1564720,62367,9999-12-31,80
1325809,Doctor Ramesh Kumar,Panjab University,MSc (Hons),,1564723,466399,9999-12-31,80
1326728,Doctor Blake Paterson,General Hospital Corporation (The) (Massachusetts General Hospital),Studied,,1564543,41264,9999-12-31,80
1326728,Doctor Blake Paterson,Tufts University,BS,,1564540,62097,1978-12-28,25
1326728,Doctor Blake Paterson,University of Vermont,MD,,1564541,62771,1983-12-28,25
1326728,Doctor Blake Paterson,General Hospital Corporation (The) (Massachusetts General Hospital),Fellow,,1564542,41264,1988-12-28,25
1326728,Doctor Blake Paterson,Johns Hopkins Hospital,Fellow,,1565301,37835,2011-12-28,25
1326728,Doctor Blake Paterson,University of California San Diego School of Medicine,Fellow,,1565300,1221266,1987-12-28,25
1326728,Doctor Blake Paterson,American Board of Anesthesiology Inc,Certified,,2471202,806643,1998-12-28,25
1327436,Rachel King,Dartmouth College,BA,,1566703,60488,1981-12-28,25
1327436,Rachel King,Harvard Business School Harvard University,MBA,,1566704,63013,1985-12-28,25
1331079,Rami Elghandour,Wharton School (The) University of Pennsylvania,MBA,,1571116,64966,2008-12-28,25
1331079,Rami Elghandour,School of Engineering Rutgers University,BSc,,1571118,1193765,2001-12-28,25
1331545,Jeff Goldberg,Massachusetts Institute of Technology (MIT) Sloan School of Management,MBA,,1572166,63283,2001-12-28,25
1331545,Jeff Goldberg,Massachusetts Institute of Technology (MIT),Masters Degree,,2020119,40436,9999-12-31,80
1331545,Jeff Goldberg,Cornell University  New York,BS,,1572164,60457,1994-12-28,25
1331589,Doctor Keith Gottesdiener,Harvard College Harvard University,BA,,1572172,63125,9999-12-31,80
1331589,Doctor Keith Gottesdiener,University of Pennsylvania,MD,,1572173,62579,9999-12-31,80
1335250,Doctor Chris Kirk,University of California Davis,BS,,2479614,62216,1994-12-28,25
1335250,Doctor Chris Kirk,University of Michigan,PhD,,1580428,63187,1999-12-28,25
1336946,Keith Decker,Harvard Business School Harvard University,Executive Education Program,,2686774,63013,9999-12-31,80
1336946,Keith Decker,University of Washington,Bachelor's Degree,,1583484,62785,9999-12-31,80
1337291,Corey Thomas,Vanderbilt University,BE (magna cum laude),,1583528,62843,1998-12-28,25
1337291,Corey Thomas,Harvard Business School Harvard University,MBA,,1583530,63013,2002-12-28,25
1338608,Joe Yanchik III,Charles Widger School of Law Villanova University (Villanova University School of Law prior to 01/2016),JD (Hons),,1586242,466232,9999-12-31,80
1338608,Joe Yanchik III,Loyola College in Maryland,BBA,,1586241,736426,9999-12-31,80
1339534,R Session II,Texas A&M University Commerce (Formerly known as East Texas State University),MS,,1588399,1194844,9999-12-31,80
1339534,R Session II,Texas A&M University Commerce (Formerly known as East Texas State University),MBA,,1588397,1194844,9999-12-31,80
1339534,R Session II,Belk College of Business Administration UNC Charlotte,BSBA,,1588400,78939,9999-12-31,80
1339954,Doctor Miguel Cardozo Goytizolo,Ruprecht-Karls-Universität Heidelberg (University of Heidelberg),MSc,,1587687,62354,9999-12-31,80
1339954,Doctor Miguel Cardozo Goytizolo,Ruprecht-Karls-Universität Heidelberg (University of Heidelberg),PhD,,1588287,62354,1983-12-28,25
1339954,Doctor Miguel Cardozo Goytizolo,Universidad Nacional de Ingenieria,BSc,,1587686,793817,1972-12-28,25
1344140,Doctor Troy Wilson,University of California Berkeley,BA,,1597298,62215,9999-12-31,80
1344140,Doctor Troy Wilson,New York University School of Law,JD,,1597294,574794,9999-12-31,80
1344140,Doctor Troy Wilson,University of California Berkeley,PhD,,1597297,62215,9999-12-31,80
1344485,Matt D'Onofrio,University of Southern California Marshall School of Business,MBA,,1597600,1260970,1997-12-28,25
1344485,Matt D'Onofrio,San Diego State University (SDSU),BS,,1597599,61775,1992-12-28,25
1354086,Doctor Linda Marbán,Case Western Reserve University (CWRU),PhD,,1616605,60290,2001-12-28,25
1354086,Doctor Linda Marbán,University of Maryland,BS,,3817971,3184619,9999-12-31,80
1356626,Doctor Al Sandrock Jr,Stanford University,BA,,1621250,61935,1979-12-28,25
1356626,Doctor Al Sandrock Jr,Harvard Medical School Harvard University,MD,,1621240,63348,1988-12-28,25
1356626,Doctor Al Sandrock Jr,Harvard University,PhD,,1621241,63830,1988-06-28,15
1358193,Doctor Sean Ianchulev,Harvard Medical School Harvard University,MD,,1631542,63348,1999-06-28,15
1358193,Doctor Sean Ianchulev,University of Rochester,Bachelor's Degree,,3006467,62633,9999-12-31,80
1358193,Doctor Sean Ianchulev,Harvard School of Public Health,MPH,,1631543,63160,1999-06-28,15
1360320,Doctor Bassil Dahiyat,Johns Hopkins University,BS,,1627417,61026,1992-12-28,25
1360320,Doctor Bassil Dahiyat,Johns Hopkins University,MSE,,1627418,61026,9999-12-31,80
1360320,Doctor Bassil Dahiyat,California Institute of Technology (CALTECH),PhD,,1627419,60243,1997-12-28,25
1361005,Doctor Albert Bourla,Aristotle University of Thessaloniki,PhD,,1630499,60073,1991-12-28,25
1361005,Doctor Albert Bourla,Aristotle University of Thessaloniki,Doctor of Veterinary Medicine (DVM),,2449476,60073,1985-12-28,25
1361005,Doctor Albert Bourla,Royal College of Veterinary Surgeons,Certified,,1630498,827910,9999-12-31,80
1363816,Doctor Maurice Zauderer,Massachusetts Institute of Technology (MIT),PhD,,1632781,40436,9999-12-31,80
1363816,Doctor Maurice Zauderer,Yeshiva University,BS,,2286698,79331,9999-12-31,80
1375251,Doctor Sharon Mates,Ohio State University (OSU),BS,,1650654,61523,9999-12-31,80
1375251,Doctor Sharon Mates,University of Washington,PhD,,1650655,62785,1981-12-28,25
1378322,Lee Rauch,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),MBA,,1655256,1342262,1981-12-28,25
1378322,Lee Rauch,Arizona State University,BA,,1655255,60074,9999-12-31,80
1379617,Marino Garcia,Ivey Business School University of Western Ontario,MBA,,1656793,485046,1994-12-28,25
1379617,Marino Garcia,Concordia University,Bachelor's Degree,,1656792,60442,1991-12-28,25
1383101,Wes Kaupinen,Wharton School (The) University of Pennsylvania,MBA,,1662101,64966,9999-12-31,80
1383101,Wes Kaupinen,University of Virginia,BA,,1662102,62777,9999-12-31,80
1383150,Terrie Curran,University of Technology Sydney,Diploma,,1785792,421273,9999-12-31,80
1383150,Terrie Curran,University of Technology Sydney,BSc,,1785791,421273,9999-12-31,80
1383465,David Main,University of British Columbia (UBC),BSc,,1663736,62203,9999-12-31,80
1383465,David Main,University of British Columbia (UBC),MBA,,1663737,62203,9999-12-31,80
1385837,Todd Bazemore,University of Massachusetts Lowell (UMass Lowell),BS,,1666536,62459,1994-12-28,25
1389691,Kate Haviland,Harvard Business School Harvard University,MBA,,1672893,63013,2005-12-28,25
1389691,Kate Haviland,Wesleyan University,BA,,1672892,62908,1998-12-28,25
1389719,Tony Hunt,Boston University School of Management,MBA,,1673025,591811,9999-12-31,80
1389719,Tony Hunt,University College Galway,BS,,1673022,62257,9999-12-31,80
1389719,Tony Hunt,University College Galway,MS,,1673023,62257,9999-12-31,80
1392371,Doctor Nick Saccomano,State University of New York Buffalo (SUNYB) (University at Buffalo) (Formerly known as University of Buffalo),BS,,1676932,83168,1980-12-28,25
1392371,Doctor Nick Saccomano,Columbia University,PhD,,1676931,60434,1984-12-28,25
1392918,Doctor Randy Schatzman,Emory University,PhD,,1678769,60627,9999-12-31,80
1392918,Doctor Randy Schatzman,Purdue University,BS,,1678770,61638,9999-12-31,80
1392918,Doctor Randy Schatzman,University of California,Postdoctoral Fellow,,1678782,63186,9999-12-31,80
1394798,Doctor Pravin Dugel,Doheny Eye Institute,Fellow,,1722915,491825,1993-12-28,25
1394798,Doctor Pravin Dugel,Columbia University,MD (Summa cum laude),,1722921,60434,9999-12-31,80
1394798,Doctor Pravin Dugel,Bascom Palmer Eye Institute,Fellow,,1722917,626248,1993-12-28,25
1394798,Doctor Pravin Dugel,UCLA School of Medicine,Graduated,,1681388,532558,1988-12-28,25
1394798,Doctor Pravin Dugel,Bascom Palmer Eye Institute,Fellow,,1722923,626248,9999-12-31,80
1394922,Doctor Jacob Chacko,University of California Los Angeles (UCLA),MD,,1727527,62218,2008-12-28,25
1394922,Doctor Jacob Chacko,Harvard Business School Harvard University,MBA (Distinction),,1727528,63013,2008-12-28,25
1394922,Doctor Jacob Chacko,University of Southern California (USC),BS,,1727531,62673,2000-12-28,25
1394922,Doctor Jacob Chacko,Oxford University,MSc,,1727529,61561,2002-12-28,25
1394922,Doctor Jacob Chacko,University of Southern California (USC),BA,,1727530,62673,2000-12-28,25
1396615,Paul Sparkes,Memorial University of Newfoundland,BA,,1724235,121997,9999-12-31,80
1398057,John Schlaefer,Stanford University,BS,,1726017,61935,1985-12-28,25
1398057,John Schlaefer,University of California Berkeley,MBA,,1726016,62215,1993-12-28,25
1398057,John Schlaefer,Stanford University,MS,,1726019,61935,1987-12-28,25
1398109,Rob Neville,University of KwaZulu-Natal,Postgraduate Degree,,1726691,955887,1987-12-28,25
1398109,Rob Neville,Dallas Theological Seminary (DTS),Graduated,,3007258,422026,2007-12-28,25
1398109,Rob Neville,University of KwaZulu-Natal,BSc,,3007259,955887,1987-12-28,25
1398426,Tim Breen,London Business School,MBA,,2079918,61171,2004-12-28,25
1400244,Doctor David Chang,Stanford University,PhD,,1729688,61935,9999-12-31,80
1400244,Doctor David Chang,Massachusetts Institute of Technology (MIT),BS,,1729686,40436,9999-12-31,80
1400244,Doctor David Chang,Stanford University,MD,,1729687,61935,9999-12-31,80
1400244,Doctor David Chang,Howard Hughes Medical Institute (HHMI),Postdoctoral Fellow,,2715190,54187,9999-12-31,80
1404740,Doctor Neil Kumar,Stanford University,BS,,1735021,61935,2002-12-28,25
1404740,Doctor Neil Kumar,Massachusetts Institute of Technology (MIT),PhD,,1735023,40436,2006-12-28,25
1404740,Doctor Neil Kumar,Stanford University,MS,,1735022,61935,2002-12-28,25
1404780,Jim Anderson,University of Minnesota,BS,,1735085,62475,9999-12-31,80
1404780,Jim Anderson,Purdue University,MS,,1735083,61638,9999-12-31,80
1404780,Jim Anderson,Massachusetts Institute of Technology (MIT),MBA,,1735076,40436,9999-12-31,80
1404780,Jim Anderson,Massachusetts Institute of Technology (MIT),MS,,1735075,40436,9999-12-31,80
1405337,Doctor Peter Beetham,Queensland University of Technology (QUT),PhD,,1735963,560751,1997-12-28,25
1405337,Doctor Peter Beetham,Monash University,BSc (Hons),,1735964,2027826,1985-12-28,25
1406337,Doctor Bill Marshall,University of Colorado Boulder,PhD,,1739054,62260,9999-12-31,80
1406337,Doctor Bill Marshall,University of Wisconsin-Madison,BS,,1739053,751347,9999-12-31,80
1406339,Doctor Jack Zhang,State University of New York Stony Brook,PhD,,1736975,461269,9999-12-31,80
1406635,Doctor Isaac Ciechanover,Stanford University,BA,,1737605,61935,9999-12-31,80
1406635,Doctor Isaac Ciechanover,Weill Cornell Medical College (Cornell University Medical College prior to 1998),MD,,1737611,886858,9999-12-31,80
1406635,Doctor Isaac Ciechanover,Harvard Business School Harvard University,MBA,,1737612,63013,9999-12-31,80
1406635,Doctor Isaac Ciechanover,University of Cambridge,MPhil,,1737610,60268,9999-12-31,80
1448217,Doctor Mike Finney,Harvard University,AB,,1740420,63830,1980-12-28,25
1448217,Doctor Mike Finney,Massachusetts Institute of Technology (MIT),PhD,,1740413,40436,1987-12-28,25
1450622,Keith Kendall,Pace University,MBA,,3483425,61563,9999-12-31,80
1450622,Keith Kendall,St John's University (SJU),BS,,3483423,61913,9999-12-31,80
1451161,Doctor Thomas Chalberg Jr,Brown University,MD,,1743918,60224,9999-12-31,80
1451161,Doctor Thomas Chalberg Jr,Stanford University School of Medicine,PhD,,1744241,79154,2005-12-28,25
1451161,Doctor Thomas Chalberg Jr,Haas School of Business University of California Berkeley,MBA,,2524905,757832,2011-12-28,25
1451161,Doctor Thomas Chalberg Jr,Harvard University,AB (cum laude),,1743919,63830,1999-12-28,25
1451965,Doctor Amar Sawhney,University of Texas at Austin (UT Austin),PhD,,1745631,62742,1992-12-28,25
1451965,Doctor Amar Sawhney,University of Texas at Austin (UT Austin),BSEE,,1745672,62742,1989-12-28,25
1451965,Doctor Amar Sawhney,Indian Institute of Technology (IIT) Delhi,BTech,,1745633,87237,1987-12-28,25
1451965,Doctor Amar Sawhney,University of Texas at Austin (UT Austin),MS,,1745632,62742,1991-12-28,25
1461470,Jamie Khurshid,University of Reading,BS,,2865431,62623,1997-12-28,25
1462812,Brent Ness,University of North Dakota (UND),BS,,1760727,62536,1988-12-28,25
1462812,Brent Ness,University of Colorado,Executive MBA,,1760726,63056,2004-12-28,25
1463386,Doctor David Giljohann,Northwestern University,PhD,,1762437,61494,2009-12-28,25
1463386,Doctor David Giljohann,Northwestern University,BA,,2989432,61494,9999-12-31,80
1463482,Doctor Paul-Peter Tak,Leids Universitair Medisch Centrum (Leiden University Medical Centre),PhD,,1761937,36467,1996-12-28,25
1463482,Doctor Paul-Peter Tak,Vrije Universiteit Amsterdam (Free University of Amsterdam),MD (cum laude),,1761332,587562,1986-12-28,25
1465265,Doctor Frank Bedu-Addo,University of Pittsburgh,PhD,,1764626,62593,1995-12-28,25
1465265,Doctor Frank Bedu-Addo,University of Pittsburgh,MS,,1764625,62593,1992-12-28,25
1466602,Tom Sonderman,National Technological University (NTU),MS,,1767181,819281,1991-12-28,25
1466602,Tom Sonderman,Missouri University of Science & Technology (University of Missouri - Rolla prior to 01/2008),BS,,1767180,1483741,1986-12-28,25
1468019,Jodie Morrison,Mount Holyoke College,BA,,1769562,61339,1997-12-28,25
1468019,Jodie Morrison,Massachusetts Institute of Technology (MIT) Sloan School of Management,Executive Program,,1769563,63283,2004-12-28,25
1468019,Jodie Morrison,Boston University Chobanian & Avedisian School of Medicine (Formerly known as School of Medicine Boston University),Certified,,2506904,530621,2002-12-28,25
1468043,Dave Domzalski,Muhlenberg College,BA,,1769645,102472,9999-12-31,80
1468322,Fred Schwarzer,Boalt Hall School of Law University of California,JD,,1769685,77693,9999-12-31,80
1468322,Fred Schwarzer,University of Michigan,BA,,1769687,63187,9999-12-31,80
1474902,Doctor Alves Aivado,Heinrich Heine Universität Düsseldorf (HHUD) (Heinrich Heine University of Düsseldorf),PhD,,1781086,60840,1996-12-28,25
1474902,Doctor Alves Aivado,Heinrich Heine Universität Düsseldorf (HHUD) (Heinrich Heine University of Düsseldorf),MD,,1781085,60840,9999-12-31,80
1475612,Corinne Le Goff,Université Paris Descartes - Paris V (University of Paris V - Paris Descartes),PharmD,,1782689,97521,1989-12-28,25
1475612,Corinne Le Goff,Université Paris 1 - Pantheon Sorbonne (Paris 1 University - Pantheon Sorbonne),MBA,,1782690,64885,1992-12-28,25
1475612,Corinne Le Goff,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),Studied,,1782709,60651,1998-12-28,25
1477017,Shay Banon,Technion - Israel Institute of Technology (IIT),BSE,,3270094,780210,9999-12-31,80
1478189,Doctor Simon Pimstone,University of British Columbia (UBC),Doctor of Medicine (DM),,1788854,62203,1991-12-28,25
1478189,Doctor Simon Pimstone,University of Cape Town (UCT),MD,,1788498,42659,1991-12-28,25
1478189,Doctor Simon Pimstone,Universiteit van Amsterdam (University of Amsterdam),PhD,,1788497,62148,1998-12-28,25
1479122,Richie Cunningham,University of Louisiana at Lafayette (Formerly known as University of Southwestern Louisiana),Bachelor's Degree,,1790109,137197,1994-12-28,25
1479263,Vishal Gupta,Carleton University,BSc,,1790057,60283,2007-12-28,25
1479263,Vishal Gupta,University of Toronto,MSc,,1790056,62752,2008-12-28,25
1479263,Vishal Gupta,Delhi Public School,Studied,,1790733,1214248,1996-12-28,25
1479263,Vishal Gupta,Association of Professional Geoscientists of Ontario (APGO),Professional Geologist,,1790054,603978,9999-12-31,80
1480013,Eric Shaff,University of Pennsylvania,BA,,1790939,62579,1998-12-28,25
1480013,Eric Shaff,Samuel Curtis Johnson Graduate School of Management Cornell University,MBA,,1790940,78597,2004-12-28,25
1480489,Doctor Ramy Farid,California Institute of Technology (CALTECH),PhD,,1792654,60243,1991-12-28,25
1480489,Doctor Ramy Farid,National Institutes of Health (NIH),Post Doctoral Fellowship,,3923681,119377,9999-12-31,80
1480515,Hamza Suria,Kalamazoo College (K College),BSc,,1792771,82887,1997-12-28,25
1480515,Hamza Suria,University of Western Ontario,MS,,1792772,62795,9999-12-31,80
1480515,Hamza Suria,Ivey Business School University of Western Ontario,Executive MBA,,1792773,485046,9999-12-31,80
1480515,Hamza Suria,Association of Strategic Alliance Professionals (ASAP),Certified,,1792781,1007102,9999-12-31,80
1481505,Doctor Anish Bhatnagar,SMS Medical College,MD,,1794238,1557867,9999-12-31,80
1481607,Adam Grossman,American University of Armenia,BS,,1794940,485556,9999-12-31,80
1482427,Scott Keeney,Harvard Business School Harvard University,MBA,,1795258,63013,1994-12-28,25
1482427,Scott Keeney,University of Washington,BA,,1795259,62785,1988-12-28,25
1482940,Bob Azelby,University of Virginia,BA,,1796016,62777,1990-12-28,25
1482940,Bob Azelby,Harvard Business School Harvard University,MBA,,1796017,63013,1997-12-28,25
1486166,Bill Stilley III,McIntire School of Commerce University of Virginia,BS,,1822635,667050,1990-12-28,25
1486166,Bill Stilley III,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),MBA (Cum Laude),,1822634,53191,1997-12-28,25
1488593,Doctor Cedric Francois,Katholieke Universiteit Leuven (KUL) (Catholic University of Leuven) (KU Leuven),MD,,1826589,69305,1998-12-28,25
1488593,Doctor Cedric Francois,University of Louisville,Postgraduate Degree,,1826600,62424,9999-12-31,80
1488593,Doctor Cedric Francois,University of Louisville School of Medicine,PhD,,1826590,1192650,2004-12-28,25
1488645,Doctor Joe Payne,University of Calgary,MS,,1826701,86931,1999-12-28,25
1488645,Doctor Joe Payne,Brigham Young University (BYU),Bachelor's Degree (magna cum laude),,1826702,60212,1995-12-28,25
1488645,Doctor Joe Payne,Massachusetts Institute of Technology (MIT) Sloan School of Management,Executive Training Program,,1826703,63283,2011-12-28,25
1489349,Doctor Vimal Mehta,University of Delhi,PhD,,1828512,243736,1988-12-28,25
1489349,Doctor Vimal Mehta,University of Montpellier,Postdoctoral Fellow,,4165909,64564,1989-12-28,25
1489359,Doctor Terry Rosen,University of California Berkeley,PhD,,1832300,62215,1985-12-28,25
1489359,Doctor Terry Rosen,University of Michigan Ann Arbor,BS,,1832299,550078,1981-12-28,25
1490298,Doctor Jill Milne,Harvard University,PhD,,1830514,63830,1995-12-28,25
1490298,Doctor Jill Milne,Wellesley College,BA,,1830515,62904,1989-12-28,25
1490753,Adi Mohanty,Clarkson University,MS,,1829613,60383,1990-12-28,25
1490753,Adi Mohanty,Saint Marys College,MBA,,1829612,785984,9999-12-31,80
